DATE,GS1,GS5,GS10
1986-10-01,5.72,6.83,7.43
1986-11-01,5.80,6.76,7.25
1986-12-01,5.87,6.67,7.11
1987-01-01,5.78,6.64,7.08
1987-02-01,5.96,6.79,7.25
1987-03-01,6.03,6.79,7.25
1987-04-01,6.50,7.57,8.02
1987-05-01,7.00,8.26,8.61
1987-06-01,6.80,8.02,8.40
1987-07-01,6.68,8.01,8.45
1987-08-01,7.03,8.32,8.76
1987-09-01,7.67,8.94,9.42
1987-10-01,7.59,9.08,9.52
1987-11-01,6.96,8.35,8.86
1987-12-01,7.17,8.45,8.99
1988-01-01,6.99,8.18,8.67
1988-02-01,6.64,7.71,8.21
1988-03-01,6.71,7.83,8.37
1988-04-01,7.01,8.19,8.72
1988-05-01,7.40,8.58,9.09
1988-06-01,7.49,8.49,8.92
1988-07-01,7.75,8.66,9.06
1988-08-01,8.17,8.94,9.26
1988-09-01,8.09,8.69,8.98
1988-10-01,8.11,8.51,8.80
1988-11-01,8.48,8.79,8.96
1988-12-01,8.99,9.09,9.11
1989-01-01,9.05,9.15,9.09
1989-02-01,9.25,9.27,9.17
1989-03-01,9.57,9.51,9.36
1989-04-01,9.36,9.30,9.18
1989-05-01,8.98,8.91,8.86
1989-06-01,8.44,8.29,8.28
1989-07-01,7.89,7.83,8.02
1989-08-01,8.18,8.09,8.11
1989-09-01,8.22,8.17,8.19
1989-10-01,7.99,7.97,8.01
1989-11-01,7.77,7.81,7.87
1989-12-01,7.72,7.75,7.84
1990-01-01,7.92,8.12,8.21
1990-02-01,8.11,8.42,8.47
1990-03-01,8.35,8.60,8.59
1990-04-01,8.40,8.77,8.79
1990-05-01,8.32,8.74,8.76
1990-06-01,8.10,8.43,8.48
1990-07-01,7.94,8.33,8.47
1990-08-01,7.78,8.44,8.75
1990-09-01,7.76,8.51,8.89
1990-10-01,7.55,8.33,8.72
1990-11-01,7.31,8.02,8.39
1990-12-01,7.05,7.73,8.08
1991-01-01,6.64,7.70,8.09
1991-02-01,6.27,7.47,7.85
1991-03-01,6.40,7.77,8.11
1991-04-01,6.24,7.70,8.04
1991-05-01,6.13,7.70,8.07
1991-06-01,6.36,7.94,8.28
1991-07-01,6.31,7.91,8.27
1991-08-01,5.78,7.43,7.90
1991-09-01,5.57,7.14,7.65
1991-10-01,5.33,6.87,7.53
1991-11-01,4.89,6.62,7.42
1991-12-01,4.38,6.19,7.09
1992-01-01,4.15,6.24,7.03
1992-02-01,4.29,6.58,7.34
1992-03-01,4.63,6.95,7.54
1992-04-01,4.30,6.78,7.48
1992-05-01,4.19,6.69,7.39
1992-06-01,4.17,6.48,7.26
1992-07-01,3.60,5.84,6.84
1992-08-01,3.47,5.60,6.59
1992-09-01,3.18,5.38,6.42
1992-10-01,3.30,5.60,6.59
1992-11-01,3.68,6.04,6.87
1992-12-01,3.71,6.08,6.77
1993-01-01,3.50,5.83,6.60
1993-02-01,3.39,5.43,6.26
1993-03-01,3.33,5.19,5.98
1993-04-01,3.24,5.13,5.97
1993-05-01,3.36,5.20,6.04
1993-06-01,3.54,5.22,5.96
1993-07-01,3.47,5.09,5.81
1993-08-01,3.44,5.03,5.68
1993-09-01,3.36,4.73,5.36
1993-10-01,3.39,4.71,5.33
1993-11-01,3.58,5.06,5.72
1993-12-01,3.61,5.15,5.77
1994-01-01,3.54,5.09,5.75
1994-02-01,3.87,5.40,5.97
1994-03-01,4.32,5.94,6.48
1994-04-01,4.82,6.52,6.97
1994-05-01,5.31,6.78,7.18
1994-06-01,5.27,6.70,7.10
1994-07-01,5.48,6.91,7.30
1994-08-01,5.56,6.88,7.24
1994-09-01,5.76,7.08,7.46
1994-10-01,6.11,7.40,7.74
1994-11-01,6.54,7.72,7.96
1994-12-01,7.14,7.78,7.81
1995-01-01,7.05,7.76,7.78
1995-02-01,6.70,7.37,7.47
1995-03-01,6.43,7.05,7.20
1995-04-01,6.27,6.86,7.06
1995-05-01,6.00,6.41,6.63
1995-06-01,5.64,5.93,6.17
1995-07-01,5.59,6.01,6.28
1995-08-01,5.75,6.24,6.49
1995-09-01,5.62,6.00,6.20
1995-10-01,5.59,5.86,6.04
1995-11-01,5.43,5.69,5.93
1995-12-01,5.31,5.51,5.71
1996-01-01,5.09,5.36,5.65
1996-02-01,4.94,5.38,5.81
1996-03-01,5.34,5.97,6.27
1996-04-01,5.54,6.30,6.51
1996-05-01,5.64,6.48,6.74
1996-06-01,5.81,6.69,6.91
1996-07-01,5.85,6.64,6.87
1996-08-01,5.67,6.39,6.64
1996-09-01,5.83,6.60,6.83
1996-10-01,5.55,6.27,6.53
1996-11-01,5.42,5.97,6.20
1996-12-01,5.47,6.07,6.30
1997-01-01,5.61,6.33,6.58
1997-02-01,5.53,6.20,6.42
1997-03-01,5.80,6.54,6.69
1997-04-01,5.99,6.76,6.89
1997-05-01,5.87,6.57,6.71
1997-06-01,5.69,6.38,6.49
1997-07-01,5.54,6.12,6.22
1997-08-01,5.56,6.16,6.30
1997-09-01,5.52,6.11,6.21
1997-10-01,5.46,5.93,6.03
1997-11-01,5.46,5.80,5.88
1997-12-01,5.53,5.77,5.81
1998-01-01,5.24,5.42,5.54
1998-02-01,5.31,5.49,5.57
1998-03-01,5.39,5.61,5.65
1998-04-01,5.38,5.61,5.64
1998-05-01,5.44,5.63,5.65
1998-06-01,5.41,5.52,5.50
1998-07-01,5.36,5.46,5.46
1998-08-01,5.21,5.27,5.34
1998-09-01,4.71,4.62,4.81
1998-10-01,4.12,4.18,4.53
1998-11-01,4.53,4.54,4.83
1998-12-01,4.52,4.45,4.65
1999-01-01,4.51,4.60,4.72
1999-02-01,4.70,4.91,5.00
1999-03-01,4.78,5.14,5.23
1999-04-01,4.69,5.08,5.18
1999-05-01,4.85,5.44,5.54
1999-06-01,5.10,5.81,5.90
1999-07-01,5.03,5.68,5.79
1999-08-01,5.20,5.84,5.94
1999-09-01,5.25,5.80,5.92
1999-10-01,5.43,6.03,6.11
1999-11-01,5.55,5.97,6.03
1999-12-01,5.84,6.19,6.28
2000-01-01,6.12,6.58,6.66
2000-02-01,6.22,6.68,6.52
2000-03-01,6.22,6.50,6.26
2000-04-01,6.15,6.26,5.99
2000-05-01,6.33,6.69,6.44
2000-06-01,6.17,6.30,6.10
2000-07-01,6.08,6.18,6.05
2000-08-01,6.18,6.06,5.83
2000-09-01,6.13,5.93,5.80
2000-10-01,6.01,5.78,5.74
2000-11-01,6.09,5.70,5.72
2000-12-01,5.60,5.17,5.24
2001-01-01,4.81,4.86,5.16
2001-02-01,4.68,4.89,5.10
2001-03-01,4.30,4.64,4.89
2001-04-01,3.98,4.76,5.14
2001-05-01,3.78,4.93,5.39
2001-06-01,3.58,4.81,5.28
2001-07-01,3.62,4.76,5.24
2001-08-01,3.47,4.57,4.97
2001-09-01,2.82,4.12,4.73
2001-10-01,2.33,3.91,4.57
2001-11-01,2.18,3.97,4.65
2001-12-01,2.22,4.39,5.09
2002-01-01,2.16,4.34,5.04
2002-02-01,2.23,4.30,4.91
2002-03-01,2.57,4.74,5.28
2002-04-01,2.48,4.65,5.21
2002-05-01,2.35,4.49,5.16
2002-06-01,2.20,4.19,4.93
2002-07-01,1.96,3.81,4.65
2002-08-01,1.76,3.29,4.26
2002-09-01,1.72,2.94,3.87
2002-10-01,1.65,2.95,3.94
2002-11-01,1.49,3.05,4.05
2002-12-01,1.45,3.03,4.03
2003-01-01,1.36,3.05,4.05
2003-02-01,1.30,2.90,3.90
2003-03-01,1.24,2.78,3.81
2003-04-01,1.27,2.93,3.96
2003-05-01,1.18,2.52,3.57
2003-06-01,1.01,2.27,3.33
2003-07-01,1.12,2.87,3.98
2003-08-01,1.31,3.37,4.45
2003-09-01,1.24,3.18,4.27
2003-10-01,1.25,3.19,4.29
2003-11-01,1.34,3.29,4.30
2003-12-01,1.31,3.27,4.27
2004-01-01,1.24,3.12,4.15
2004-02-01,1.24,3.07,4.08
2004-03-01,1.19,2.79,3.83
2004-04-01,1.43,3.39,4.35
2004-05-01,1.78,3.85,4.72
2004-06-01,2.12,3.93,4.73
2004-07-01,2.10,3.69,4.50
2004-08-01,2.02,3.47,4.28
2004-09-01,2.12,3.36,4.13
2004-10-01,2.23,3.35,4.10
2004-11-01,2.50,3.53,4.19
2004-12-01,2.67,3.60,4.23
2005-01-01,2.86,3.71,4.22
2005-02-01,3.03,3.77,4.17
2005-03-01,3.30,4.17,4.50
2005-04-01,3.32,4.00,4.34
2005-05-01,3.33,3.85,4.14
2005-06-01,3.36,3.77,4.00
2005-07-01,3.64,3.98,4.18
2005-08-01,3.87,4.12,4.26
2005-09-01,3.85,4.01,4.20
2005-10-01,4.18,4.33,4.46
2005-11-01,4.33,4.45,4.54
2005-12-01,4.35,4.39,4.47
2006-01-01,4.45,4.35,4.42
2006-02-01,4.68,4.57,4.57
2006-03-01,4.77,4.72,4.72
2006-04-01,4.90,4.90,4.99
2006-05-01,5.00,5.00,5.11
2006-06-01,5.16,5.07,5.11
2006-07-01,5.22,5.04,5.09
2006-08-01,5.08,4.82,4.88
2006-09-01,4.97,4.67,4.72
2006-10-01,5.01,4.69,4.73
2006-11-01,5.01,4.58,4.60
2006-12-01,4.94,4.53,4.56
2007-01-01,5.06,4.75,4.76
2007-02-01,5.05,4.71,4.72
2007-03-01,4.92,4.48,4.56
2007-04-01,4.93,4.59,4.69
2007-05-01,4.91,4.67,4.75
2007-06-01,4.96,5.03,5.10
2007-07-01,4.96,4.88,5.00
2007-08-01,4.47,4.43,4.67
2007-09-01,4.14,4.20,4.52
2007-10-01,4.10,4.20,4.53
2007-11-01,3.50,3.67,4.15
2007-12-01,3.26,3.49,4.10
2008-01-01,2.71,2.98,3.74
2008-02-01,2.05,2.78,3.74
2008-03-01,1.54,2.48,3.51
2008-04-01,1.74,2.84,3.68
2008-05-01,2.06,3.15,3.88
2008-06-01,2.42,3.49,4.10
2008-07-01,2.28,3.30,4.01
2008-08-01,2.18,3.14,3.89
2008-09-01,1.91,2.88,3.69
2008-10-01,1.42,2.73,3.81
2008-11-01,1.07,2.29,3.53
2008-12-01,0.49,1.52,2.42
2009-01-01,0.44,1.60,2.52
2009-02-01,0.62,1.87,2.87
2009-03-01,0.64,1.82,2.82
2009-04-01,0.55,1.86,2.93
2009-05-01,0.50,2.13,3.29
2009-06-01,0.51,2.71,3.72
2009-07-01,0.48,2.46,3.56
2009-08-01,0.46,2.57,3.59
2009-09-01,0.40,2.37,3.40
2009-10-01,0.37,2.33,3.39
2009-11-01,0.31,2.23,3.40
2009-12-01,0.37,2.34,3.59
2010-01-01,0.35,2.48,3.73
2010-02-01,0.35,2.36,3.69
2010-03-01,0.40,2.43,3.73
2010-04-01,0.45,2.58,3.85
2010-05-01,0.37,2.18,3.42
2010-06-01,0.32,2.00,3.20
2010-07-01,0.29,1.76,3.01
2010-08-01,0.26,1.47,2.70
2010-09-01,0.26,1.41,2.65
2010-10-01,0.23,1.18,2.54
2010-11-01,0.25,1.35,2.76
2010-12-01,0.29,1.93,3.29
2011-01-01,0.27,1.99,3.39
2011-02-01,0.29,2.26,3.58
2011-03-01,0.26,2.11,3.41
2011-04-01,0.25,2.17,3.46
2011-05-01,0.19,1.84,3.17
2011-06-01,0.18,1.58,3.00
2011-07-01,0.19,1.54,3.00
2011-08-01,0.11,1.02,2.30
2011-09-01,0.10,0.90,1.98
2011-10-01,0.11,1.06,2.15
2011-11-01,0.11,0.91,2.01
2011-12-01,0.12,0.89,1.98
2012-01-01,0.12,0.84,1.97
2012-02-01,0.16,0.83,1.97
2012-03-01,0.19,1.02,2.17
2012-04-01,0.18,0.89,2.05
2012-05-01,0.19,0.76,1.80
2012-06-01,0.19,0.71,1.62
2012-07-01,0.19,0.62,1.53
2012-08-01,0.18,0.71,1.68
2012-09-01,0.18,0.67,1.72
2012-10-01,0.18,0.71,1.75
2012-11-01,0.18,0.67,1.65
2012-12-01,0.16,0.70,1.72
2013-01-01,0.15,0.81,1.91
2013-02-01,0.16,0.85,1.98
2013-03-01,0.15,0.82,1.96
2013-04-01,0.12,0.71,1.76
2013-05-01,0.12,0.84,1.93
2013-06-01,0.14,1.20,2.30
2013-07-01,0.12,1.40,2.58
2013-08-01,0.13,1.52,2.74
2013-09-01,0.12,1.60,2.81
2013-10-01,0.12,1.37,2.62
2013-11-01,0.12,1.37,2.72
2013-12-01,0.13,1.58,2.90
2014-01-01,0.12,1.65,2.86
2014-02-01,0.12,1.52,2.71
2014-03-01,0.13,1.64,2.72
2014-04-01,0.11,1.70,2.71
2014-05-01,0.10,1.59,2.56
2014-06-01,0.10,1.68,2.60
2014-07-01,0.11,1.70,2.54
2014-08-01,0.11,1.63,2.42
2014-09-01,0.11,1.77,2.53
2014-10-01,0.10,1.55,2.30
2014-11-01,0.13,1.62,2.33
2014-12-01,0.21,1.64,2.21
2015-01-01,0.20,1.37,1.88
2015-02-01,0.22,1.47,1.98
2015-03-01,0.25,1.52,2.04
2015-04-01,0.23,1.35,1.94
2015-05-01,0.24,1.54,2.20
2015-06-01,0.28,1.68,2.36
2015-07-01,0.30,1.63,2.32
2015-08-01,0.38,1.54,2.17
2015-09-01,0.37,1.49,2.17
2015-10-01,0.26,1.39,2.07
2015-11-01,0.48,1.67,2.26
2015-12-01,0.65,1.70,2.24
2016-01-01,0.54,1.52,2.09
2016-02-01,0.53,1.22,1.78
2016-03-01,0.66,1.38,1.89
2016-04-01,0.56,1.26,1.81
2016-05-01,0.59,1.30,1.81
2016-06-01,0.55,1.17,1.64
2016-07-01,0.51,1.07,1.50
2016-08-01,0.57,1.13,1.56
2016-09-01,0.59,1.18,1.63
2016-10-01,0.66,1.27,1.76
2016-11-01,0.74,1.60,2.14
2016-12-01,0.87,1.96,2.49
2017-01-01,0.83,1.92,2.43
2017-02-01,0.82,1.90,2.42
2017-03-01,1.01,2.01,2.48
2017-04-01,1.04,1.82,2.30
2017-05-01,1.12,1.84,2.30
2017-06-01,1.20,1.77,2.19
2017-07-01,1.22,1.87,2.32
2017-08-01,1.23,1.78,2.21
2017-09-01,1.28,1.80,2.20
2017-10-01,1.40,1.98,2.36
2017-11-01,1.56,2.05,2.35
2017-12-01,1.70,2.18,2.40
2018-01-01,1.80,2.38,2.58
2018-02-01,1.96,2.60,2.86
2018-03-01,2.06,2.63,2.84
2018-04-01,2.15,2.70,2.87
2018-05-01,2.27,2.82,2.98
2018-06-01,2.33,2.78,2.91
2018-07-01,2.39,2.78,2.89
2018-08-01,2.45,2.77,2.89
2018-09-01,2.56,2.89,3.00
2018-10-01,2.65,3.00,3.15
2018-11-01,2.70,2.95,3.12
2018-12-01,2.66,2.68,2.83
2019-01-01,2.58,2.54,2.71
2019-02-01,2.55,2.49,2.68
2019-03-01,2.49,2.37,2.57
2019-04-01,2.42,2.33,2.53
2019-05-01,2.34,2.19,2.40
2019-06-01,2.00,1.83,2.07
2019-07-01,1.96,1.83,2.06
2019-08-01,1.77,1.49,1.63
2019-09-01,1.80,1.57,1.70
2019-10-01,1.61,1.53,1.71
2019-11-01,1.57,1.64,1.81
2019-12-01,1.55,1.68,1.86
2020-01-01,1.53,1.56,1.76
2020-02-01,1.41,1.32,1.50
2020-03-01,0.33,0.59,0.87
2020-04-01,0.18,0.39,0.66
2020-05-01,0.16,0.34,0.67
2020-06-01,0.18,0.34,0.73
2020-07-01,0.15,0.28,0.62
2020-08-01,0.13,0.27,0.65
2020-09-01,0.13,0.27,0.68
2020-10-01,0.13,0.34,0.79
2020-11-01,0.12,0.39,0.87
2020-12-01,0.10,0.39,0.93